ProductId,ProductName,UnitsInStock,UnitPrice
1,Aniseed Syrup,39,18
2,Chef Anton's Cajun Seasoning,17,19
3,Chef Anton's Gumbo Mix,13,10
4,Grandma's Boysenberry Spread,53,22
5,Uncle Bob's Organic Dried Pears,0,21.35
6,Northwoods Cranberry Sauce,120,25
7,Mishi Kobe Niku,15,30
8,Ikura,6,40
9,Queso Cabrales,29,97
10,Queso Manchego La Pastora,31,31
11,Konbu,22,21
12,Tofu,86,38
13,Genen Shouyu,24,6
14,Pavlova,35,23.25
15,Alice Mutton,39,15.5
16,Carnarvon Tigers,29,17.45
17,Teatime Chocolate Biscuits,0,39
18,Sir Rodney's Marmalade,42,62.5
19,Sir Rodney's Scones,25,9.2
20,Gustaf's KnŠckebršd,40,81
21,Tunnbršd,3,10
22,Guaran‡ Fant‡stica,104,21
23,NuNuCa Nu§-Nougat-Creme,61,9
24,GumbŠr GummibŠrchen,20,4.5
25,Schoggi Schokolade,76,14
26,Ršssle Sauerkraut,15,31.23
27,ThŸringer Rostbratwurst,49,43.9
28,Nord-Ost Matjeshering,26,45.6
29,Gorgonzola Telino,0,123.79
30,Mascarpone Fabioli,10,25.89
31,Geitost,0,12.5
32,Sasquatch Ale,9,32
33,Steeleye Stout,112,2.5
34,Inlagd Sill,111,14
35,Gravad lax,20,18
36,C™te de Blaye,112,19
37,Chartreuse verte,11,26
38,Boston Crab Meat,17,263.5
39,Jack's New England Clam Chowder,69,18
40,Singaporean Hokkien Fried Mee,123,18.4
41,Ipoh Coffee,85,9.65
42,Gula Malacca,26,14
43,Rogede sild,17,46
44,Spegesild,27,19.45
45,Zaanse koeken,5,9.5
46,Chocolade,95,12
47,Maxilaku,36,9.5
48,Valkoinen suklaa,15,12.75
49,Manjimup Dried Apples,10,20
50,Filo Mix,65,16.25
51,Perth Pasties,20,53
52,Tourtire,38,7
53,P‰tŽ chinois,0,32.8
54,Gnocchi di nonna Alice,21,7.45
55,Ravioli Angelo,115,24
56,Escargots de Bourgogne,21,38
57,Raclette Courdavault,36,19.5
58,Camembert Pierrot,62,13.25
59,Sirop d'Žrable,79,55
60,Tarte au sucre,19,34
61,Vegie-spread,113,28.5
62,Wimmers gute Semmelknšdel,17,49.3
63,Louisiana Fiery Hot Pepper Sauce,24,43.9
64,Louisiana Hot Spiced Okra,22,33.25
65,Laughing Lumberjack Lager,76,21.05
66,Scottish Longbreads,4,17
67,Gudbrandsdalsost,52,14
68,Outback Lager,6,12.5
69,Flotemysost,26,36
70,Mozzarella di Giovanni,15,15
71,Ršd Kaviar,26,21.5
72,Longlife Tofu,14,34.8
73,RhšnbrŠu Klosterbier,101,15
74,Lakkalikššri,4,10
75,Original Frankfurter grŸne So§e,125,7.75
